new entry "MiniaturGiantSpaceRabbit_Boo"
type "Character"
using "_Critter"
data "Level" "3"
data "Strength" "24"
data "Dexterity" "24"
data "Constitution" "24"
data "Intelligence" "24"
data "Wisdom" "24"
data "Charisma" "24"
data "Armor" "62"
data "Vitality" "3"
data "DefaultBoosts" "CharacterUnarmedDamage(-8)"
data "XPReward" "40806669-8c6b-4068-8bc4-07e4981bb020"
data "Weight" "1"
data "Passives" "DarknessRules;ShortResting;Darkvision"
data "ActionResources" "ActionPoint:1;BonusActionPoint:1;Movement:12;ReactionActionPoint:1"
data "DarkvisionRange" "12"
data "PersonalStatusImmunities" "SG_Condition;SG_Blinded;SG_Charmed;SG_Cursed;SG_Disease;SG_Exhausted;SG_Frightened;SG_Incapacitated;SG_Invisible;SG_Poisoned;SG_Prone;SG_Restrained;SG_Stunned;SG_Unconscious;SG_Polymorph;SG_Paralyzed;SG_Petrified;SG_Drunk;SG_Sleeping;SG_CanBePickedUp;SG_Approaching;SG_Taunted;SG_Dominated;SG_Fleeing;SG_Confused;CRIPPLED;BLEEDING;SLEEPING;GAPING_WOUND;CHEST_TRAUMA;DAZED;SHOCKED;SHOCKED_SURFACE;SHOCKING_GRASP;SG_Mad"
data "BludgeoningResistance" "Immune"
data "SlashingResistance" "Immune"
data "PiercingResistance" "Immune"
data "AcidResistance" "Immune"
data "ColdResistance" "Immune"
data "FireResistance" "Immune"
data "ForceResistance" "Immune"
data "LightningResistance" "Immune"
data "NecroticResistance" "Immune"
data "PoisonResistance" "Immune"
data "PsychicResistance" "Immune"
data "RadiantResistance" "Immune"
data "ThunderResistance" "Immune"
